reviews,a1,a2,a3,engagement,gender,grade
3,0,116.1666667,129.0166667,H,0,1
4,0,217.75,235.9555556,M,0,2
3,0,260.3333333,221.8888889,M,1,0
6,0,271.2166667,286.0888889,M,1,1
1,0,260.7333333,274.1722222,M,0,2
0,0,107.6666667,126.7833333,H,1,0
0,0,224.8,215.2944444,M,1,0
3,0,111.8,124.7833333,H,0,0
1,0,103.4333333,177.4611111,M,0,0
3,0,232.6666667,250.2166667,M,1,2
5,0,255.8333333,256.2,M,1,2
3,0,223.6333333,226.8722222,M,0,1
1,0,265.5333333,279.35,M,0,0
1,0,306.15,298.0777778,M,0,1
9,0,102.6,116.2944444,H,0,0
0,0,128.1833333,142.8111111,H,0,1
3,0,111.6166667,128.4388889,H,1,1
0,0,66.0,79.55555556,H,0,2
2,0,68.55,81.33333333,H,0,2
2,0,56.06666667,56.01666667,H,1,1
2,0,234.15,251.5166667,M,0,0
3,1,632.0,400.4277778,L,1,0
0,0,122.6333333,137.2666667,H,0,1
0,0,44.8,63.27222222,H,1,2
2,0,118.35,131.0055556,H,1,1
2,0,255.8333333,272.7611111,M,0,1
1,0,253.5166667,266.1555556,M,1,2
3,0,55.05,68.88888889,H,1,1
1,0,73.81666667,77.99444444,H,0,0
3,0,260.75,274.4611111,M,1,1
3,0,151.5166667,166.6666667,H,0,2
2,0,230.4666667,245.9555556,M,1,1
3,0,264.9,288.0111111,M,1,1
2,0,81.33333333,104.1444444,H,0,0
3,0,233.7166667,209.3166667,M,1,1
2,0,258.4,240.1277778,M,1,0
1,0,198.2,225.0222222,M,0,1
0,0,272.0166667,278.4277778,M,0,2
2,0,213.3,234.5277778,M,0,2
0,0,125.75,134.7222222,H,0,2
4,0,95.73333333,110.05,H,0,0
1,0,319.5,384.5944444,L,1,1
2,0,74.78333333,89.93333333,H,0,1
4,0,79.15,87.06111111,H,1,1
0,0,272.05,286.2111111,M,1,0
1,0,54.05,65.03333333,H,0,2
2,0,230.45,248.4333333,M,1,0
2,0,270.0333333,280.8444444,M,1,2
2,0,259.15,277.4944444,M,1,1
2,0,85.88333333,85.64444444,H,0,1
3,0,234.5333333,213.8111111,M,0,2
0,0,273.0166667,282.9444444,M,1,1
2,0,219.6833333,241.8333333,M,0,1
1,0,211.9833333,233.6111111,M,0,1
4,0,67.6,83.55,H,1,0
2,0,208.4,224.3722222,M,0,1
3,0,57.91666667,78.16666667,H,0,0
1,0,111.2833333,133.4777778,H,0,0
1,0,128.5166667,106.7,H,0,0
2,0,274.5666667,304.85,M,1,0
2,0,121.1,133.4444444,H,1,2
2,0,78.5,87.31666667,H,0,1
1,0,212.7333333,134.4833333,H,1,0
1,0,82.86666667,93.65,H,1,2
2,0,91.1,106.6666667,H,0,2
1,0,80.75,95.80555556,H,1,1
3,0,243.5833333,258.1722222,M,1,2
3,0,117.8833333,128.5,H,0,0
0,0,86.51666667,101.1277778,H,0,2
5,0,207.8333333,222.4833333,M,1,0
2,0,124.8,135.45,H,0,0
1,0,62.55,81.95,H,1,1
1,0,44.08333333,65.53888889,H,0,2
3,0,79.05,94.42222222,H,0,2
2,0,260.2166667,273.6611111,M,1,2
1,0,257.5833333,272.5555556,M,0,1
0,0,104.45,118.8333333,H,1,1
4,0,117.3,140.3555556,H,0,1
1,0,272.7833333,175.7833333,H,0,2
0,0,207.4166667,191.45,M,0,2
1,0,245.9666667,278.3277778,M,1,1
0,1,632.0,495.3333333,L,1,2
5,0,212.0166667,234.7722222,M,0,2
1,0,103.5833333,117.6055556,H,1,2
0,0,210.1333333,235.0944444,M,0,1
3,0,90.5,106.5388889,H,1,1
3,0,52.45,65.06666667,H,1,1
8,0,88.6,87.55,H,0,1
4,0,260.65,274.1944444,M,0,2
1,1,632.0,495.3333333,L,1,2
0,0,88.61666667,96.38333333,H,1,0
1,0,244.85,260.4111111,M,1,0
0,0,128.0833333,151.2111111,H,1,2
7,0,114.5166667,136.6666667,H,0,0
0,0,91.4,105.7333333,H,0,1
2,0,74.2,83.8,H,0,0
0,0,246.8166667,261.1722222,M,0,1
5,0,220.4666667,241.4111111,M,0,2
1,0,210.3,234.1555556,M,1,1
12,0,102.8833333,105.45,H,1,1
0,0,254.9833333,359.9277778,L,0,2
1,0,103.35,101.8888889,H,1,1
8,0,230.25,210.9444444,M,1,1
1,0,220.0833333,242.1611111,M,1,1
0,0,52.33333333,68.24444444,H,0,1
0,0,233.65,249.5555556,M,1,1
2,0,237.6166667,247.7944444,M,0,2
0,0,263.3666667,277.2722222,M,0,2
1,0,100.0666667,111.4888889,H,0,1
3,0,98.11666667,113.8111111,H,1,0
6,0,249.3,257.2444444,M,0,0
0,0,94.91666667,99.9,H,1,2
1,0,71.61666667,84.57222222,H,0,2
2,1,632.0,495.3333333,L,1,0
1,0,204.35,219.1166667,M,0,0
2,0,219.7666667,239.9444444,M,0,0
0,0,89.95,105.9611111,H,0,1
