reviews,a1,a2,a3,engagement,gender,grade
1,0,134.4,101.3777778,H,0,1
2,0,208.4,225.3722222,M,1,0
0,0,235.15,113.8277778,M,1,0
0,0,197.6333333,216.8388889,L,1,0
4,0,270.8,282.8944444,M,1,2
3,0,243.5833333,68.21722222,M,1,2
1,0,207.05,238.4666667,M,1,1
0,0,52.9,80.32777778,H,0,2
5,0,228.65,105.6666667,M,0,1
0,0,107.5166667,98.89444444,H,0,0
2,0,427.3166667,309.4166667,M,0,1
1,0,78.4,93.34444444,H,0,2
2,0,90.73333333,104.3888889,H,0,0
2,0,57.31666667,240.2777778,H,0,1
3,0,270.85,106.3055556,M,0,1
0,0,233.65,243.66,M,1,0
0,0,225.0333333,244.5555556,M,0,0
1,0,272.0833333,251.65,M,1,2
2,0,271.0,278.7722222,M,1,1
2,0,57.31666667,219.1166667,H,0,1
3,0,127.7166667,236.3722222,H,1,2
0,0,271.3833333,104.3888889,M,0,0
0,0,251.3666667,278.3277778,M,0,0
0,0,251.3666667,278.3277778,M,0,0
2,0,218.65,240.1388889,M,0,2
2,0,57.31666667,240.2777778,H,0,1
1,0,245.15,134.3944444,M,1,1
1,0,73.81666667,81.06666667,H,0,2
2,0,208.55,278.7055556,M,1,2
2,0,263.65,274.4944444,M,0,1
0,0,251.3666667,278.3277778,M,0,0
6,0,91.28333333,101.6,H,1,0
7,0,74.75,136.9,H,0,0
2,0,57.31666667,240.2777778,H,0,1
3,0,41.48333333,66.20555556,H,0,0
5,0,123.9666667,131.0055556,H,1,2
5,0,220.4666667,113.4111111,M,0,1
0,0,251.3666667,278.3277778,M,0,0
0,0,75.38333333,70.53,H,1,0
3,0,223.6333333,226.7722222,M,1,1
2,0,234.85,242.7111111,M,1,1
1,0,264.8666667,135.4111111,M,1,1
1,0,41.31666667,282.6666667,H,0,2
0,0,212.8666667,135.45,M,1,2
3,0,267.6166667,118.8333333,H,1,1
3,0,79.05,95.72222222,H,1,1
2,0,218.65,241.1388889,M,0,2
0,0,113.0833333,246.6111111,H,0,0
1,0,91.31666667,129.8055556,H,0,2
7,0,212.1333333,236.8,M,1,2
1,0,111.8666667,261.8444444,H,0,1
2,0,87.98333333,106.8,H,0,1
3,0,263.6333333,288.0333333,M,1,0
1,0,56.28333333,95.80555556,H,1,1
2,0,271.0,278.7722222,M,1,1
0,0,197.6333333,216.8388889,M,1,1
3,0,68.88333333,81.01,H,1,0
0,0,197.6333333,194.4888889,M,1,0
4,0,65.93333333,103.3,H,0,0
2,0,113.7,126.2055556,H,0,1
1,0,212.7333333,261.8444444,M,1,2
1,0,78.4,95.34444444,H,1,2
0,0,251.3666667,278.3277778,M,0,0
0,0,51.13333333,66.4,H,0,0
2,0,113.7,126.2055556,H,0,1
3,0,223.6333333,129.8722222,M,1,2
2,0,211.9,225.3722222,M,0,1
0,0,55.63333333,249.4333333,H,1,2
2,0,230.45,242.7111111,M,1,1
0,0,246.45,258.7111111,M,1,0
0,0,55.63333333,129.8333333,H,1,2
2,0,44.46666667,66.20555556,H,0,1
1,0,54.05,238.3333333,H,1,2
0,0,319.6333333,307.4888889,M,0,0
0,0,66.0,66.20555556,H,1,2
0,0,128.0833333,151.6111111,H,0,2
1,0,235.9166667,251.65,M,1,0
0,0,70.05,69.32777778,H,0,2
3,0,127.7166667,236.3722222,H,1,2
4,0,270.0666667,90.09555556,M,0,0
3,0,65.93333333,78.3,H,0,0
1,0,88.93333333,101.9,H,0,2
2,0,111.8,261.8444444,H,0,2
2,0,122.75,274.1277778,H,0,2
0,0,123.5,274.4944444,H,1,1
3,0,272.6833333,286.1055556,M,1,1
1,0,244.85,261.4111111,M,1,0
5,0,111.8,261.8444444,H,0,2
0,0,211.6666667,235.0722222,M,0,0
3,0,270.85,101.6,M,1,1
3,0,127.7166667,260.7722222,H,1,2
2,0,272.0666667,135.4777778,M,0,1
2,0,57.31666667,240.2777778,H,0,1
1,0,235.8833333,234.7,M,1,2
1,0,59.93333333,81.43333333,H,0,2
2,0,74.78333333,62.23333333,H,1,0
0,0,123.5,253.9944444,H,1,1
2,0,208.4,224.7722222,M,1,0
1,0,222.7333333,241.8388889,H,0,2
6,0,233.9333333,245.9555556,M,1,0
3,0,243.5833333,277.1722222,M,1,2
2,0,140.3333333,151.1166667,H,0,1
3,0,114.5,120.7722222,M,0,0
0,0,245.6,134.3944444,M,0,0
1,0,53.68333333,93.82222222,H,0,1
1,0,80.75,95.80555556,H,0,2
1,0,126.4666667,38.65,H,1,0
2,0,223.1166667,151.8388889,M,0,0
1,0,102.3333333,251.5833333,H,1,0
1,0,212.7333333,261.8444444,M,1,2
2,0,85.88333333,84.34444444,H,0,0
0,0,272.0166667,225.4277778,M,0,1
0,0,249.3166667,279.4333333,L,1,2
0,0,257.55,242.7111111,M,1,0
5,0,215.1,232.8888889,M,1,0
1,0,78.4,95.34444444,H,1,2
2,0,96.68333333,116.3944444,H,1,1
5,0,239.4166667,253.9944444,M,0,1
1,0,53.68333333,93.82222222,H,0,1
3,0,127.7166667,231.3722222,H,1,2
2,0,212.2,236.3722222,M,1,2
2,0,90.73333333,104.3888889,H,0,0
0,0,251.3666667,278.3277778,M,0,0
1,0,234.85,249.9111111,M,1,2
1,0,111.2833333,133.4777778,H,0,1
1,0,85.55,239.3,H,0,2
3,0,223.6333333,129.8722222,M,1,2
2,0,208.4,224.7722222,M,1,0
3,0,64.56666667,76.48888889,H,1,1
3,0,41.48333333,234.1555556,H,0,0
3,0,111.6166667,93.64388889,H,1,2
0,0,234.15,251.5166667,M,0,0
2,0,246.55,261.3944444,M,0,2
2,0,225.25,73.85555556,M,0,2
